endpoint,str_CV_AUC_mean,str_CV_AUC_std,str_Held_out_TP,str_Held_out_TN,str_Held_out_FP,str_Held_out_FN,str_Held_out_BA,str_Held_out_AUC,str_Held_out_MCC,str_Held_out_AUCPR,str_Held_out_Specificity,str_Held_out_Sensitivity,str_Held_out_F1,phy_CV_AUC_mean,phy_CV_AUC_std,phy_Held_out_TP,phy_Held_out_TN,phy_Held_out_FP,phy_Held_out_FN,phy_Held_out_BA,phy_Held_out_AUC,phy_Held_out_MCC,phy_Held_out_AUCPR,phy_Held_out_Specificity,phy_Held_out_Sensitivity,phy_Held_out_F1,img_CV_AUC_mean,img_CV_AUC_std,img_Held_out_TP,img_Held_out_TN,img_Held_out_FP,img_Held_out_FN,img_Held_out_BA,img_Held_out_AUC,img_Held_out_MCC,img_Held_out_AUCPR,img_Held_out_Specificity,img_Held_out_Sensitivity,img_Held_out_F1,ge_CV_AUC_mean,ge_CV_AUC_std,ge_Held_out_TP,ge_Held_out_TN,ge_Held_out_FP,ge_Held_out_FN,ge_Held_out_BA,ge_Held_out_AUC,ge_Held_out_MCC,ge_Held_out_AUCPR,ge_Held_out_Specificity,ge_Held_out_Sensitivity,ge_Held_out_F1,go_CV_AUC_mean,go_CV_AUC_std,go_Held_out_TP,go_Held_out_TN,go_Held_out_FP,go_Held_out_FN,go_Held_out_BA,go_Held_out_AUC,go_Held_out_MCC,go_Held_out_AUCPR,go_Held_out_Specificity,go_Held_out_Sensitivity,go_Held_out_F1,pid_CV_AUC_mean,pid_CV_AUC_std,pid_Held_out_TP,pid_Held_out_TN,pid_Held_out_FP,pid_Held_out_FN,pid_Held_out_BA,pid_Held_out_AUC,pid_Held_out_MCC,pid_Held_out_AUCPR,pid_Held_out_Specificity,pid_Held_out_Sensitivity,pid_Held_out_F1,pid_cmt_CV_AUC_mean,pid_cmt_CV_AUC_std,pid_cmt_Held_out_TP,pid_cmt_Held_out_TN,pid_cmt_Held_out_FP,pid_cmt_Held_out_FN,pid_cmt_Held_out_BA,pid_cmt_Held_out_AUC,pid_cmt_Held_out_MCC,pid_cmt_Held_out_AUCPR,pid_cmt_Held_out_Specificity,pid_cmt_Held_out_Sensitivity,pid_cmt_Held_out_F1,pid_cmu_CV_AUC_mean,pid_cmu_CV_AUC_std,pid_cmu_Held_out_TP,pid_cmu_Held_out_TN,pid_cmu_Held_out_FP,pid_cmu_Held_out_FN,pid_cmu_Held_out_BA,pid_cmu_Held_out_AUC,pid_cmu_Held_out_MCC,pid_cmu_Held_out_AUCPR,pid_cmu_Held_out_Specificity,pid_cmu_Held_out_Sensitivity,pid_cmu_Held_out_F1,moa_CV_AUC_mean,moa_CV_AUC_std,moa_Held_out_TP,moa_Held_out_TN,moa_Held_out_FP,moa_Held_out_FN,moa_Held_out_BA,moa_Held_out_AUC,moa_Held_out_MCC,moa_Held_out_AUCPR,moa_Held_out_Specificity,moa_Held_out_Sensitivity,moa_Held_out_F1,moa_cmt_CV_AUC_mean,moa_cmt_CV_AUC_std,moa_cmt_Held_out_TP,moa_cmt_Held_out_TN,moa_cmt_Held_out_FP,moa_cmt_Held_out_FN,moa_cmt_Held_out_BA,moa_cmt_Held_out_AUC,moa_cmt_Held_out_MCC,moa_cmt_Held_out_AUCPR,moa_cmt_Held_out_Specificity,moa_cmt_Held_out_Sensitivity,moa_cmt_Held_out_F1,moa_cmu_CV_AUC_mean,moa_cmu_CV_AUC_std,moa_cmu_Held_out_TP,moa_cmu_Held_out_TN,moa_cmu_Held_out_FP,moa_cmu_Held_out_FN,moa_cmu_Held_out_BA,moa_cmu_Held_out_AUC,moa_cmu_Held_out_MCC,moa_cmu_Held_out_AUCPR,moa_cmu_Held_out_Specificity,moa_cmu_Held_out_Sensitivity,moa_cmu_Held_out_F1,esnemble_all_Held_out_TP,esnemble_all_Held_out_TN,esnemble_all_Held_out_FP,esnemble_all_Held_out_FN,esnemble_all_Held_out_BA,esnemble_all_Held_out_AUC,esnemble_all_Held_out_MCC,esnemble_all_Held_out_AUCPR,esnemble_all_Held_out_Specificity,esnemble_all_Held_out_Sensitivity,esnemble_all_Held_out_F1,esnemble_selected_Held_out_TP,esnemble_selected_Held_out_TN,esnemble_selected_Held_out_FP,esnemble_selected_Held_out_FN,esnemble_selected_Held_out_BA,esnemble_selected_Held_out_AUC,esnemble_selected_Held_out_MCC,esnemble_selected_Held_out_AUCPR,esnemble_selected_Held_out_Specificity,esnemble_selected_Held_out_Sensitivity,esnemble_selected_Held_out_F1
Cardiotox (with SIDER inactives),0.6928122039193685,0.0180454981661801,44.0,17.0,8.0,21.0,0.6784615384615384,0.7224615384615385,0.3236740192798513,0.8579866672512728,0.68,0.676923076923077,0.7521367521367521,0.6960704854679558,0.0309601009070477,51.0,17.0,8.0,14.0,0.7323076923076923,0.8043076923076923,0.4379387921465976,0.9049889898292748,0.68,0.7846153846153846,0.8225806451612904,0.6003246753246753,0.0856727346924772,62.0,3.0,22.0,3.0,0.536923076923077,0.6160000000000001,0.1325987088263591,0.7995237215212276,0.12,0.953846153846154,0.832214765100671,0.604632295415428,0.0609706327019294,57.0,5.0,20.0,8.0,0.5384615384615384,0.616,0.0980090752764664,0.7972418363509586,0.2,0.8769230769230769,0.8028169014084509,0.5531919018063596,0.0733985786258567,61.0,4.0,21.0,4.0,0.5492307692307692,0.6092307692307692,0.1549677688452119,0.7687853242570035,0.16,0.9384615384615383,0.8299319727891157,0.6980115963911337,0.0259030715488399,42.0,14.0,11.0,23.0,0.6030769230769231,0.7446153846153846,0.187663290734253,0.8834515931837152,0.56,0.6461538461538462,0.711864406779661,0.6590484686292001,0.0650605311525035,27.0,21.0,4.0,38.0,0.6276923076923077,0.6781538461538462,0.240721322835547,0.8322965812391556,0.84,0.4153846153846154,0.5625,0.7012857142857143,0.0360840617480941,32.0,19.0,2.0,25.0,0.7330827067669172,0.7410192147034252,0.4169858587349771,0.8905452343298843,0.9047619047619048,0.5614035087719298,0.7032967032967032,0.6769771145800734,0.0562033340311032,44.0,20.0,5.0,21.0,0.7384615384615385,0.7430769230769232,0.4289286459108544,0.8976204338238087,0.8,0.676923076923077,0.7719298245614036,0.6695510204081632,0.0756762971174727,40.0,15.0,10.0,25.0,0.6076923076923078,0.724,0.1941450686788302,0.8747590405823478,0.6,0.6153846153846154,0.6956521739130435,0.6475649350649351,0.0631156546237608,44.0,7.0,14.0,13.0,0.5526315789473684,0.6031746031746033,0.1069287463959417,0.8158756850935007,0.3333333333333333,0.7719298245614035,0.7652173913043477,46.0,19.0,6.0,19.0,0.7338461538461538,0.7883076923076923,0.4241245769873914,0.9093358790780064,0.76,0.7076923076923077,0.7863247863247863,53.0,14.0,11.0,12.0,0.6876923076923077,0.7790769230769231,0.3709594947505214,0.9039869632497528,0.56,0.8153846153846154,0.8217054263565892
Cardiotox (with SIDER actives),0.676705486234898,0.0243459740298663,42.0,17.0,8.0,23.0,0.6630769230769231,0.736,0.2939911039993714,0.8737833290829493,0.68,0.6461538461538462,0.7304347826086957,0.7031122994652407,0.0298530843568902,56.0,9.0,16.0,9.0,0.6107692307692307,0.7538461538461538,0.2480694691784169,0.8935058860512566,0.36,0.8615384615384616,0.8175182481751826,0.3096729587357331,0.1291793215291758,0.0,25.0,0.0,65.0,0.5,0.544,0.0,0.7639378552249898,1.0,0.0,0.0,0.5676971326164875,0.0442779283232801,28.0,15.0,10.0,37.0,0.5153846153846153,0.588923076923077,0.0279029326965389,0.8165735147986499,0.6,0.4307692307692308,0.5436893203883496,0.5587365591397849,0.0541933972661032,12.0,21.0,4.0,53.0,0.5123076923076924,0.5218461538461538,0.0288374900364236,0.7680436621139062,0.84,0.1846153846153846,0.2962962962962963,0.7059160229748465,0.026250449830243,56.0,12.0,13.0,9.0,0.6707692307692308,0.7458461538461538,0.3616863407399824,0.8790806302541243,0.48,0.8615384615384616,0.835820895522388,0.6992272727272727,0.0821056314191895,44.0,15.0,10.0,21.0,0.6384615384615384,0.6947692307692308,0.2531848417709166,0.8581414348254406,0.6,0.676923076923077,0.7394957983193278,0.6872993672993674,0.0585955606811781,47.0,12.0,9.0,10.0,0.6979949874686717,0.7552213868003341,0.3903245903244278,0.8954204895710394,0.5714285714285714,0.8245614035087719,0.8318584070796461,0.6711376746322749,0.0377165891046521,40.0,20.0,5.0,25.0,0.7076923076923077,0.8203076923076923,0.3721042037676254,0.919292741585675,0.8,0.6153846153846154,0.7272727272727274,0.6790898448931811,0.0915863210369246,37.0,18.0,7.0,28.0,0.6446153846153846,0.7341538461538462,0.2591587766430023,0.8834112048938167,0.72,0.5692307692307692,0.6788990825688073,0.6891341991341992,0.130212276574912,46.0,7.0,14.0,11.0,0.5701754385964912,0.6432748538011696,0.1477577702676374,0.8404070406753681,0.3333333333333333,0.8070175438596491,0.7863247863247863,55.0,11.0,14.0,10.0,0.6430769230769231,0.8006153846153846,0.3030345017010663,0.915569171281706,0.44,0.8461538461538461,0.8208955223880597,54.0,13.0,12.0,11.0,0.6753846153846155,0.8036923076923077,0.3552798562032137,0.9193986935830012,0.52,0.8307692307692308,0.8244274809160306
Cardiotox (with SIDER all),0.6825864366365103,0.0126598502405038,36.0,18.0,7.0,29.0,0.6369230769230769,0.7372307692307691,0.2455557858595348,0.8734199419023141,0.72,0.5538461538461539,0.6666666666666667,0.6910323517098185,0.0194669397781382,42.0,22.0,3.0,23.0,0.7630769230769231,0.8141538461538461,0.4713319914389921,0.9175216874182872,0.88,0.6461538461538462,0.7636363636363636,0.5941725197541703,0.0059874443139651,62.0,1.0,24.0,3.0,0.4969230769230769,0.6086153846153846,-0.0133750094043067,0.8099955681470246,0.04,0.953846153846154,0.8211920529801324,0.5771770120560443,0.0312126636452973,52.0,10.0,15.0,13.0,0.6000000000000001,0.6067692307692307,0.2053786803349981,0.8015828490398995,0.4,0.8,0.787878787878788,0.5651225969371131,0.0346461544402925,23.0,19.0,6.0,42.0,0.556923076923077,0.5907692307692308,0.1091141639278128,0.7739285372074234,0.76,0.3538461538461538,0.4893617021276595,0.710181554658727,0.0260554910939425,35.0,19.0,6.0,30.0,0.6492307692307693,0.7378461538461538,0.2684263138925992,0.862457587877705,0.76,0.5384615384615384,0.660377358490566,0.6869736842105263,0.0426778501329057,40.0,15.0,10.0,25.0,0.6076923076923078,0.6892307692307692,0.1941450686788302,0.8536224511659436,0.6,0.6153846153846154,0.6956521739130435,0.6706682206682206,0.1125476895256635,44.0,11.0,10.0,13.0,0.6478696741854637,0.7276524644945698,0.2842193788995726,0.8755365443967176,0.5238095238095238,0.7719298245614035,0.7927927927927928,0.6454711607492143,0.0228310556590849,33.0,23.0,2.0,32.0,0.7138461538461538,0.7833846153846153,0.392954941963562,0.9097142927835092,0.92,0.5076923076923077,0.6599999999999999,0.6873947735371584,0.0344918913918748,43.0,17.0,8.0,22.0,0.6707692307692308,0.7581538461538462,0.3087087284342414,0.8961510382922329,0.68,0.6615384615384615,0.7413793103448276,0.6991824085005904,0.0857993607933959,44.0,14.0,7.0,13.0,0.7192982456140351,0.8065998329156223,0.4089265025101046,0.9271885109048664,0.6666666666666666,0.7719298245614035,0.8148148148148149,41.0,21.0,4.0,24.0,0.7353846153846153,0.7913846153846154,0.4217180976033087,0.9129279865010274,0.84,0.6307692307692307,0.7454545454545455,52.0,14.0,11.0,13.0,0.68,0.8153846153846154,0.3518657752744984,0.9245150399057558,0.56,0.8,0.8125
Cardiac disorders,0.6829409050342785,0.0346132688615734,60.0,24.0,16.0,33.0,0.6225806451612903,0.6741935483870967,0.2271847336988259,0.8223588040135327,0.6,0.6451612903225806,0.7100591715976331,0.7056560585777454,0.0284937024235163,70.0,18.0,22.0,23.0,0.6013440860215054,0.706989247311828,0.2012862152133042,0.8490664104817002,0.45,0.7526881720430108,0.7567567567567567,0.6518103154305199,0.0417756028247632,36.0,6.0,5.0,5.0,0.7117516629711751,0.811529933481153,0.4235033259423503,0.9468319569318626,0.5454545454545454,0.8780487804878049,0.8780487804878049,0.5602067760604347,0.0668008568416601,47.0,7.0,16.0,16.0,0.5251897860593513,0.5217391304347826,0.0503795721187025,0.7604581628110587,0.3043478260869565,0.746031746031746,0.746031746031746,0.527008447740155,0.024573668872171,54.0,2.0,21.0,9.0,0.4720496894409938,0.536231884057971,-0.0740839025622935,0.7727704399329456,0.0869565217391304,0.8571428571428571,0.782608695652174,0.6953612936594864,0.0325856361641914,62.0,23.0,17.0,31.0,0.6208333333333333,0.7018817204301075,0.2256720615321032,0.8523043754329853,0.575,0.6666666666666666,0.7209302325581395,0.6582721128416104,0.0742769901561303,20.0,4.0,2.0,25.0,0.5555555555555556,0.5962962962962963,0.0722818123532759,0.9201270979556624,0.6666666666666666,0.4444444444444444,0.5970149253731343,0.6802357063226628,0.1023717901573048,20.0,2.0,2.0,12.0,0.5625,0.484375,0.080582296402538,0.9116511689771531,0.5,0.625,0.7407407407407406,0.7007301645787277,0.0301167627688488,35.0,32.0,3.0,41.0,0.687406015037594,0.7165413533834586,0.3670296179351021,0.8414359310565426,0.9142857142857144,0.4605263157894737,0.6140350877192983,0.7291511659299527,0.035691325804512,34.0,2.0,4.0,6.0,0.5916666666666667,0.7041666666666667,0.1628959413837503,0.9513386960222792,0.3333333333333333,0.85,0.8717948717948718,0.696111111111111,0.1026607806459001,24.0,1.0,3.0,6.0,0.525,0.7,0.0398409536444797,0.9508345903970922,0.25,0.8,0.8421052631578948,69.0,23.0,17.0,24.0,0.6584677419354839,0.7188172043010753,0.3040494208880734,0.8634807687712882,0.575,0.7419354838709677,0.7709497206703911,75.0,20.0,20.0,18.0,0.6532258064516129,0.7217741935483871,0.3110855084191276,0.8642408111932328,0.5,0.8064516129032258,0.7978723404255319
DICTrank,0.6387234931009441,0.0381578185683821,46.0,17.0,8.0,19.0,0.6938461538461539,0.7587692307692309,0.3544587784792833,0.8780041103813196,0.68,0.7076923076923077,0.7731092436974791,0.698334422657952,0.0648994965179298,56.0,13.0,12.0,9.0,0.6907692307692308,0.8406153846153845,0.3976483732048504,0.9325183395744512,0.52,0.8615384615384616,0.8421052631578948,0.364047619047619,0.0846943283325435,60.0,2.0,23.0,5.0,0.5015384615384616,0.5187692307692308,0.0051458278781779,0.71354176138461,0.08,0.9230769230769232,0.810810810810811,0.5542391789379743,0.0202137960683562,28.0,16.0,9.0,37.0,0.5353846153846153,0.5667692307692308,0.0644217266699674,0.7682673414648129,0.64,0.4307692307692308,0.5490196078431373,0.5450771339325555,0.0255617957205328,43.0,8.0,17.0,22.0,0.4907692307692307,0.459076923076923,-0.0175411603861405,0.7204322189489227,0.32,0.6615384615384615,0.688,0.6871820987654321,0.0380486529217807,50.0,15.0,10.0,15.0,0.6846153846153846,0.7716923076923078,0.3508232077228116,0.8947223950661436,0.6,0.7692307692307693,0.8,0.6912722136620442,0.064602754096532,51.0,14.0,11.0,14.0,0.6723076923076923,0.7015384615384616,0.3334160360596607,0.8590833081208278,0.56,0.7846153846153846,0.8031496062992126,0.7031836734693877,0.026458546919613,46.0,15.0,6.0,11.0,0.7606516290726817,0.7786131996658312,0.4905114715879726,0.9106714275199989,0.7142857142857143,0.8070175438596491,0.8440366972477065,0.6728149845970306,0.027226898648546,44.0,20.0,5.0,21.0,0.7384615384615385,0.8018461538461538,0.4289286459108544,0.9130991390935488,0.8,0.676923076923077,0.7719298245614036,0.6747950113378685,0.0301349944821952,48.0,16.0,9.0,17.0,0.6892307692307693,0.7723076923076924,0.3517661417422952,0.9039616153110436,0.64,0.7384615384615385,0.7868852459016393,0.7189909297052155,0.087792301115119,47.0,6.0,15.0,10.0,0.5551378446115288,0.6950710108604846,0.121135383877964,0.8578405655509076,0.2857142857142857,0.8245614035087719,0.7899159663865545,56.0,13.0,12.0,9.0,0.6907692307692308,0.8276923076923077,0.3976483732048504,0.9250505075864816,0.52,0.8615384615384616,0.8421052631578948,59.0,10.0,15.0,6.0,0.6538461538461539,0.8141538461538461,0.3604686254552952,0.925472353265191,0.4,0.9076923076923076,0.8489208633093526
