pert_id,pert_iname,pubchem_cid,SMILES
BRD-A01494972,BRD-A01494972,,CCN1C(=O)C2(C(C(=O)c3ccc(C)o3)C(=O)C(=O)N2CCCN2CCOCC2)c2ccccc12
BRD-A01528713,BRD-A01528713,,OC(CN(Cc1ccc(Cl)cc1)C(=O)Nc1cccc(F)c1)C(F)(F)F
BRD-A01535438,BRD-A01535438,,CC(C)(C)C1CCC2(CC1)C(C#N)C(=O)NC(SCC(=O)NC1CCCCC1)=C2C#N
BRD-A01593789,CHLORMADINONE ACETATE,6710779,CC(=O)O[C@@]1(CCC2C3C=C(Cl)C4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O
BRD-A01621189,BRD-A01621189,,COC(C(=O)NCc1ccc(C)cc1)c1ccccc1
BRD-A01621507,BRD-A01621507,,CC1CCc2c(C1)sc(NC(=O)C1c3ccccc3Oc3ccccc13)c2C(N)=O
BRD-A01636364,BUPIVACAINE,2474,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
BRD-A01643550,PREDNISOLONE,5702107,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3[C@@H](O)C[C@@]21C
BRD-A01645361,BRD-A01645361,,O=C(CCCN1C(=O)c2cccc3cccc(C1=O)c23)NC1CCS(=O)(=O)C1
BRD-A01663848,BRD-A01663848,,NC(Cc1nc2ccccc2[nH]1)c1ccc(Cl)cc1
BRD-A01679629,BRD-A01679629,,Cc1ccc(cc1)C1CC1c1nnc(S)n1-c1ccc(Cl)cc1
BRD-A01703017,BRD-A01703017,,CCN(CC)C1CC(=O)N(C1=O)c1ccc(Br)cc1
BRD-A01717111,BRD-A01717111,,Cc1nc2sc(C(N3CCOCC3)c3ccco3)c(O)n2n1
BRD-A01717918,BRD-A01717918,,CCOC(=O)c1ccc(NC(=S)N2CCSC2c2ccc(OC)cc2)cc1
BRD-A01759464,BRD-A01759464,,Fc1ccccc1C1C(=O)C(=O)c2ccccc2C1=O
BRD-A01787639,NAFTOPIDIL,4418,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1
BRD-A01811599,BRD-A01811599,,COc1cccc(c1)N=C1SC(CC(=O)N1C)C(=O)Nc1ccccc1F
BRD-A01826957,XANTHINOL,9912,CN(CCO)CC(O)Cn1cnc2n(C)c(=O)n(C)c(=O)c12
BRD-A01848933,BRD-A01848933,,C(CN1CCOCC1)Sc1ncc(-c2ccccc2)n1CC1CCCO1
BRD-A01863324,BRD-A01863324,,COc1ccc(Cl)cc1NC(=O)C(C)N1CCN(CC1)C\C=C\c1ccccc1
BRD-A01886227,BRD-A01886227,,CC(=O)Nc1ccc2c(COC(=O)CC3Sc4ccccc4NC3=O)cc(=O)oc2c1
BRD-A01918084,BRD-A01918084,,ON(C1CC(=O)N(C1=O)c1cc(Cl)cc(Cl)c1)c1ccccc1
BRD-A01960364,BRD-A01960364,2826386,COc1ccc(cc1)C2C(C(=O)O)c3ccccc3C(=O)N2Cc4ccc(Cl)cc4
BRD-A01973626,BRD-A01973626,44460172,CCC(=O)NC(c1ccco1)c1cc(Br)c2cccnc2c1O
BRD-A01999384,BRD-A01999384,44142102,COc1ccc(cc1OC2CCOC2)C3=Nn4c(nnc4SC3)c5ccccc5C(F)(F)F
