pert_id,pert_iname,pubchem_cid,SMILES
BRD-K15879529,BRD-K15879529,,CCCN1C[C@@H](C)[C@H](CN(C)C(=O)c2cc(NC(=O)c3cccc(F)c3)ccc2OC[C@H]1C)OC
BRD-K15882173,BRD-K15882173,54652511,Cc1ccc(cc1)S(=O)(=O)N1C[C@@H]2[C@@H]([C@@H](CO)N2Cc2cccnc2)c2ccccc12
BRD-K15882320,BRD-K15882320,,COC(=O)C[C@H]1C[C@H]2[C@H](Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc23)[C@@H](CO)O1
BRD-K15885023,BRD-K15885023,53338818,Oc1ccc(-c2nn[nH]n2)c2cccnc12
BRD-K15885089,BRD-K15885089,,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCCOc3c2)OCc2cnnn2CCCC1=O
BRD-K15886574,BRD-K15886574,54652434,OC[C@H]1[C@@H]2[C@@H](CN(C(=O)Nc3ccc(F)cc3)c3ccccc23)N1C(=O)c1cccnc1
BRD-K15888437,BRD-K15888437,3092570,CCc1cc2c(cc1OC(C)=O)oc(C)c(-c1nc3ccccc3n1C)c2=O
BRD-K15891719,TENOFOVIR,464205,C[C@H](Cn1cnc2c(N)ncnc12)OCP(O)(O)=O
BRD-K15892609,BRD-K15892609,54638820,OC[C@H]1O[C@@H](CC(=O)NCc2ccc(Cl)cc2)CC[C@H]1NC(=O)CC1CC1
BRD-K15893783,BRD-K15893783,,CC(=NNC(=O)c1ccccc1-n1cccc1)C1CC1
BRD-K15895141,BRD-K15895141,54637880,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)Cc2ccccc2)OCc2ccccc2-c2c(C1=O)n(C)c1ccccc21
BRD-K15897571,BRD-K15897571,,CCCCCn1c(nc2n(C)c(=O)[nH]c(=O)c12)N1CCN(CC1)c1cccc(Cl)c1
BRD-K15898103,BRD-K15898103,,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(cc2)C(F)(F)F)Oc2ccc(cc2CC1=O)N(C)C
BRD-K15902525,BRD-K15902525,,CCCN1CCc2c(C1)sc(NC(=O)c1ccc(cc1)S(=O)(=O)N(C)c1ccccc1)c2C(=O)NC
BRD-K15907840,BRD-K15907840,,OC[C@H]1O[C@@H](CC(=O)NCCc2ccncc2)C=C[C@H]1NC(=O)c1ccc(F)cc1
BRD-K15912020,BRD-K15912020,54596125,CS(=O)(=O)N1[C@@H]2Cn3c(cccc3=O)[C@H]1[C@H]([C@@H]2CO)C(=O)NCc1ccccc1
BRD-K15912359,BRD-K15912359,51358831,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc(cc2)N2CCN(C)CC2)OCc2cn(CCCC1=O)nn2
BRD-K15916496,CLOTRIMAZOLE,2812,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
BRD-K15916856,BRD-K15916856,44494120,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2ccccc2)OCCCC[C@H](C)Oc3ccc(NC(=O)CCCN(C)C)cc3C1=O
BRD-K15918270,BRD-K15918270,54652701,OC[C@@H]1[C@@H]2[C@@H](CN(C(=O)Nc3cc(F)ccc3F)c3ccccc23)N1Cc1cccnc1
BRD-K15923694,BRD-K15923694,44486961,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)OCc2ccccc2)OCc2cn(CCCC1=O)nn2
BRD-K15923759,BRD-K15923759,44493556,COc1ccc(cc1)S(=O)(=O)Nc2ccc3O[C@@H](CN(C)S(=O)(=O)c4ccc(OC)cc4)[C@H](C)CN([C@H](C)CO)C(=O)Cc3c2
BRD-K15924535,BRD-K15924535,,CC1CCN(CC1)S(=O)(=O)c1ccc(NC(=O)CSc2nnc3c(C)cc4ccccc4n23)cc1
BRD-K15928912,BRD-K15928912,,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)c2ccccc2)OCCCC[C@@H](C)Oc2ccc(cc2C1=O)N(C)C
BRD-K15930005,BRD-K15930005,,Fc1ccccc1N1CCN(CC1)C(=O)CN1C(=O)c2ccccc2S1(=O)=O
BRD-K15930345,BRD-K15930345,,CO[C@@H]1CN(C)C(=O)c2cc(NC(C)=O)ccc2OC[C@@H](C)N(C[C@@H]1C)C(=O)CC1CC1
BRD-K15931098,BRD-K15931098,,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)CC2CCCCC2)Oc2ccc(NC(=O)CCC(F)(F)F)cc2C1=O
BRD-K15933101,ROPINIROLE,5095,CCCN(CCC)CCc1cccc2NC(=O)Cc12
BRD-K15935639,Z-L(3)VS,5497183,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)\C=C\S(C)(=O)=O
BRD-K15935695,BRD-K15935695,54649491,CO[C@H]1CC[C@@H]2CCN(C)C(=O)[C@@H](C)[C@@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@@H]1O2)OC
BRD-K15939043,BRD-K15939043,,CC1(C)CC(=O)C(C=Nc2cccnc2)C(=O)C1
BRD-K15940471,BRD-K15940471,,OC[C@@H]1O[C@@H](CC(=O)NCCc2ccncc2)CC[C@@H]1NC(=O)CN1CCOCC1
BRD-K15940717,BRD-K15940717,,CNC[C@H]1OCCCC[C@@H](C)Oc2ccc(NC(=O)Cc3ccccc3)cc2C(=O)N(C[C@H]1C)[C@@H](C)CO
BRD-K15943105,BRD-K15943105,,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2ccccc2)Oc2ccc(NC(=O)CCCN(C)C)cc2C1=O
BRD-K15947051,BRD-K15947051,54649716,CO[C@@H]1CC[C@@H]2CCN(C)C(=O)[C@@H](C)CN(C)C(=O)c3cc(ccc3OC[C@H]1O2)C#N
BRD-K15950605,BRD-K15950605,54614994,CC(C)NC(=O)Nc1ccc2O[C@@H](C)CCCCO[C@H](CN(C)C(=O)NC(C)C)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1
BRD-K15953261,BRD-K15953261,44488160,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc(cc2)N2CCCCC2)OCc2cn(CCCC1=O)nn2
BRD-K15954169,BRD-K15954169,,C=CCSC1=Nc2sccc2C2=NC(=O)CN12
BRD-K15955205,BRD-K15955205,54654262,C[C@@H](NC(=O)C[C@H]1CC[C@@H]2[C@@H](COc3ccc(NS(=O)(=O)c4ccc(Cl)cc4)cc3C(=O)N2C)O1)c1ccccc1
BRD-K15957397,ANTHRAQUINONE,,O=C1c2ccccc2C(=O)c2ccccc12
BRD-K15958865,BRD-K15958865,54660996,OC[C@H]1[C@@H]2Cn3c(ccc(C4=CCCC4)c3=O)[C@H]([C@@H]1C(=O)NCc1ccccn1)N2Cc1cccnc1
BRD-K15960830,BRD-K15960830,44491421,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)Cc4ccccc4)cc3CC1=O
BRD-K15966733,BRD-K15966733,54657918,CCNC(=O)C[C@H]1CC[C@H]2[C@@H](COC[C@H](O)CN2C(=O)C2CCOCC2)O1
BRD-K15968719,BRD-K15968719,,OC[C@H]1O[C@H](CC(=O)N2CCCCC2)C[C@@H]2[C@H]1Oc1ccc(NC(=O)CC3CC3)cc21
BRD-K15969875,BRD-K15969875,,Cc1cc(C)n2c(SCC(=O)N3CCN(CC3)S(=O)(=O)c3ccc(Cl)cc3)nnc2n1
BRD-K15973523,BRD-K15973523,54637777,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)[C@H](Cc2ccccc2)N(C)C)OCc2ccccc2-c2ccccc2C1=O
BRD-K15975627,BRD-K15975627,,CNC[C@@H]1OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccccc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO
BRD-K15975837,BRD-K15975837,,COC(=O)c1cc(COc2ccc3ccc(=O)oc3c2)c(C)o1
BRD-K15976239,BRD-K15976239,,NS(=O)(=O)c1ccc2-c3ccc(cc3C(=NO)c2c1)S(N)(=O)=O
BRD-K15977595,BRD-K15977595,,CC(=O)NC(=S)Nc1ccc(NC(=O)c2cccs2)cc1
BRD-K15980298,BRD-K15980298,54646391,COC(=O)C[C@@H]1C[C@@H]2[C@@H](Oc3ccc(NS(C)(=O)=O)cc23)[C@@H](CO)O1
BRD-K15987804,BRD-K15987804,44500358,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)CC2CCCCC2)Oc3ccc(NC(=O)Nc4ccc(F)cc4)cc3CC1=O
BRD-K15989099,BRD-K15989099,54661270,COCCNC(=O)[C@H]1[C@H](CO)[C@H]2Cn3c(ccc(-c4ccccc4F)c3=O)[C@H]2N1C(=O)C1CCCC1
BRD-K15990364,BRD-K15990364,54660880,COc1cccc(c1)-c1ccc2[C@H]3[C@@H](Cn2c1=O)[C@H](CO)[C@H](N3C)C(=O)NCCN1CCCCC1
BRD-K15992638,BRD-K15992638,,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)c2ccncc2)OCCCC[C@H](C)Oc2ccc(NC(=O)C3CCCCC3)cc2C1=O
BRD-K15994694,BRD-K15994694,,COc1ccc(CC(=O)NN=Cc2cccn2-c2ccc(cc2)[N+]([O-])=O)cc1OC
BRD-K15997423,BRD-K15997423,,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2c(NC(=O)c3cc(C)nn3C)cccc2C1=O
BRD-K15998522,BRD-K15998522,44491778,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CCCCC2)Oc3ccc(NC(=O)CCCN(C)C)cc3C1=O
BRD-K15999772,BRD-K15999772,,Cc1cc2ncn(-c3ncnc4scc(-c5ccccc5)c34)c2cc1C
BRD-K16004461,BRD-K16004461,54649175,CO[C@@H](CN(C)S(=O)(=O)c1ccccc1)[C@H](C)CN(Cc1ccccc1Cl)[C@H](C)CO
BRD-K16009006,BRD-K16009006,,O=C(COC(=O)c1ccccc1Oc1ccccc1)NCc1ccco1
BRD-K16009699,BRD-K16009699,54660865,COc1ccccc1-c1ccc2[C@H]3[C@@H](Cn2c1=O)[C@H](CO)[C@H](N3S(C)(=O)=O)C(=O)NCC1CC1
BRD-K16010201,BRD-K16010201,44490584,COc1ccc(CN(C)C[C@@H]2Oc3ccc(NC(=O)NC(C)C)cc3C(=O)N(C[C@@H]2C)[C@H](C)CO)cc1
BRD-K16013402,BRD-K16013402,,Cc1ccc(C)c(c1)-n1c(S)nnc1-c1ccncc1
BRD-K16026651,BRD-K16026651,54655756,COC(=O)C[C@H]1CC[C@H]2[C@@H](COc3ccc(NC(=O)c4cc(F)cc(F)c4)cc3C(=O)N2C)O1
BRD-K16026816,BRD-K16026816,54651199,CCNC[C@@H]1[C@@H]([C@H](CO)N1S(C)(=O)=O)c1ccc(cc1)-c1ccc(F)cc1
BRD-K16030225,BRD-K16030225,54646185,COc1ccccc1CNC(=O)C[C@H]1C[C@H]2[C@H](Oc3ccc(NC(=O)C4CCOCC4)cc23)[C@H](CO)O1
BRD-K16034108,BRD-K16034108,54658105,O[C@@H]1COC[C@@H]2O[C@H](CC(=O)NCc3cccc(F)c3)CC[C@H]2N(C1)C(=O)c1ccncc1
BRD-K16038004,BRD-K16038004,,COc1cccc2sc(nc12)N(CCCN(C)C)C(=O)C(c1ccccc1)c1ccccc1
BRD-K16044155,BRD-K16044155,,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2ccc(cc2C1=O)N(C)C
BRD-K16046246,BRD-K16046246,44489706,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2cccc3ccccc23)OCCCC[C@@H](C)Oc4ccc(NC(=O)c5ccncc5)cc4C1=O
BRD-K16047442,BRD-K16047442,,OC[C@H]1O[C@H](CC(=O)NCc2ccc3OCOc3c2)C[C@H]2[C@@H]1Oc1ccc(NC(=O)Nc3ccc(cc3)C(F)(F)F)cc21
BRD-K16048293,BRD-K16048293,54660725,CC(C)NC(=O)N1[C@H]([C@H](CO)[C@H]2Cn3c(ccc(-c4ccccc4F)c3=O)[C@@H]12)C(=O)NC1CCC1
BRD-K16050964,BRD-K16050964,54615015,CC(C)NC(=O)N(C)C[C@H]1OCCCC[C@H](C)Oc2ccc(NC(=O)c3ccccc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO
BRD-K16051505,BRD-K16051505,16253428,Cc1ccc(cc1)-c1csc(NC(=O)CSc2nnc3cc(C)c4ccccc4n23)n1
BRD-K16057611,BRD-K16057611,23778539,C[C@@H]1[C@H]([C@H](CCO)O[C@@]12C(=O)N(Cc3ccc(cc3)N4CCCCC4=O)c5ccccc52)[Si](C)(C)F
BRD-K16059342,BRD-K16059342,,Cc1[nH]c2ccccc2c1C(=O)COC(=O)Cn1c(C)nc2ccccc12
BRD-K16062794,BRD-K16062794,,COCCCNC(=O)Cn1ncc2c1c1ccccc1oc2=O
BRD-K16063494,BRD-K16063494,54646352,OC[C@H]1O[C@@H](CC(=O)NCc2cccnc2)C[C@H]2[C@@H]1Oc1ccc(NC(=O)Nc3ccc(cc3)C(F)(F)F)cc21
BRD-K16063772,BRD-K16063772,54665084,COc1ccc(cc1)C#Cc1ccc2N[C@H](CO)[C@H]3CCN([C@H]3c2c1)C(=O)c1cccc(F)c1
BRD-K16064200,BRD-K16064200,,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)Oc2ccc(NC(=O)C3CC3)cc2CC1=O
BRD-K16064228,BRD-K16064228,,OC(=O)C1CCN(CC1)C(=O)Cc1ccccc1
BRD-K16064600,BRD-K16064600,,OC[C@H]1O[C@H](CCn2cc(nn2)C2(O)CCCC2)CC[C@@H]1NC(=O)Nc1ccc(Cl)cc1
BRD-K16068142,BRD-K16068142,54649227,CO[C@@H](CN(C)C(=O)C1CCOCC1)[C@H](C)CN([C@@H](C)CO)C(=O)Nc1ccc(cc1)C(F)(F)F
BRD-K16074065,BRD-K16074065,60189748,CCCNC(=O)N1[C@H](CO)[C@@H](c2ccccc2)C11CN(C1)C(=O)C1CCCCC1
BRD-K16075454,BRD-K16075454,54646336,OC[C@H]1O[C@@H](CC(=O)NCc2cc(F)ccc2F)C[C@H]2[C@@H]1Oc1ccc(NC(=O)C3CCOCC3)cc21
BRD-K16077845,FENTIAZAC,28871,OC(=O)Cc1sc(nc1-c1ccc(Cl)cc1)-c1ccccc1
BRD-K16079077,BRD-K16079077,,CO[C@@H]1CN(C)C(=O)c2ccc(NS(C)(=O)=O)cc2OC[C@@H](C)N(C[C@@H]1C)C(=O)c1ccc2OCOc2c1
BRD-K16079243,BRD-K16079243,44504986,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Cc2ccccc2)OCc2cnnn2CCCC1=O
BRD-K16093370,BRD-K16093370,,OC[C@H]1O[C@H](CCNC(=O)Nc2ccc(Cl)cc2)CC[C@H]1NC(=O)c1cnccn1
BRD-K16095967,BRD-K16095967,,CCOC(=O)\C=C\c1cnn(c1)-c1ccccc1
BRD-K16097209,BRD-K16097209,71760344,COc1ccc2c3c([C@H](CO)N(C[C@]33CCN(CC3)C(=O)Nc3ccccc3F)C(C)=O)n(C)c2c1
BRD-K16106362,BRD-K16106362,60190214,COc1ccc2c3c([C@@H](CO)NC[C@]33CCN(Cc4ccncc4)CC3)n(C)c2c1
BRD-K16108472,BRD-K16108472,,Cc1c(cnn1C)N=C\C=C\c1ccccc1
BRD-K16109630,BRD-K16109630,,CO[C@H]1CN(C)C(=O)c2cc(NC(=O)C3CC3)ccc2OC[C@@H](C)N(C[C@H]1C)C(=O)CN(C)C
BRD-K16110862,BRD-K16110862,54638013,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccccc2C)OCc2ccccc2-c2ccccc2C1=O
BRD-K16111035,BRD-K16111035,,CN(Cc1ccccc1)S(=O)(=O)c1ccc(cc1)C(=O)Nc1nnc(o1)C1CC1
BRD-K16113530,BRD-K16113530,54661334,CN(C)C(=O)[C@H]1[C@H](CO)[C@H]2Cn3c(ccc(C4=CCCCC4)c3=O)[C@H]2N1Cc1ccccn1
BRD-K16117792,BRD-K16117792,54654164,CNC(=O)C[C@@H]1CC[C@@H]2[C@H](COc3ccc(NC(=O)c4cc(F)cc(F)c4)cc3C(=O)N2C)O1
BRD-K16118047,SA-427543,44492098,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)CCCN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3cccs3)cc2C1=O
BRD-K16118844,BRD-K16118844,,CC(C)=NOC(=O)c1ccc(cc1)-c1ccccc1
BRD-K16120913,BRD-K16120913,44485757,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccc3OCOc3c2)OCc2cn(CCCC1=O)nn2
BRD-K16121755,BRD-K16121755,54646052,COc1ccccc1CNC(=O)C[C@H]1C[C@H]2[C@H](Oc3ccc(cc23)N(C)C)[C@H](CO)O1
BRD-K16126971,BRD-K16126971,60184845,COc1ccc2c3c([C@H](CO)N(Cc4cccc(F)c4)C[C@]33CCN(CC3)C(=O)Cc3ccccc3)n(C)c2c1
BRD-K16127703,BRD-K16127703,,COc1ccc(NC(=O)Nc2ccc3O[C@H]4[C@H](C[C@H](CC(=O)N(C)C)O[C@H]4CO)c3c2)cc1
BRD-K16127898,SA-85290,44485243,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)NC2CCCCC2)Oc3ccc(NC(=O)Cc4cn(C)c5ccccc45)cc3C1=O
BRD-K16128171,BRD-K16128171,60187989,OC[C@H]1[C@H]([C@@H](C#N)N1C(=O)NC1CCCCC1)c1ccccc1C1=CCCCC1
BRD-K16134892,BRD-K16134892,,CCn1c2ccccc2c(O)c(C(=O)NNC(=O)c2ccccc2Cl)c1=O
BRD-K16136457,BRD-K16136457,,OC[C@H]1O[C@H](CC(=O)N2CCOCC2)CC[C@H]1NC(=O)Cc1ccccc1
BRD-K16136812,BRD-K16136812,54618227,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)c2cccc(F)c2)Oc2cc(ccc2S1(=O)=O)C#CC1CC1
BRD-K16136897,BRD-K16136897,,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)CCC(F)(F)F)OCCCC[C@@H](C)Oc2ccc(cc2C1=O)N(C)C
BRD-K16144417,BRD-K16144417,60184907,COc1ccc2c3c([C@H](CO)N(Cc4ccccc4F)C[C@]33CCN(CC3)C(=O)C3CCOCC3)n(C)c2c1
BRD-K16147474,BRD-K16147474,,CC(C)NC(=O)Nc1ccc2O[C@@H](CN(C)S(C)(=O)=O)[C@@H](C)CN([C@H](C)CO)C(=O)Cc2c1
BRD-K16149111,BRD-K16149111,60185027,C\C=C\c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)C(=O)NC1CCCCC1
BRD-K16149312,BRD-K16149312,,CCCN(C)C[C@H]1OCCCC[C@@H](C)Oc2ccc(NC(=O)CCCN(C)C)cc2C(=O)N(C[C@H]1C)[C@H](C)CO
BRD-K16149503,BRD-K16149503,54646160,OC[C@H]1O[C@H](CC(=O)NCCN2CCCCC2)C[C@@H]2[C@H]1Oc1ccc(NC(=O)Cc3ccncc3)cc21
BRD-K16154498,BRD-K16154498,,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2cncnc2)Oc2ncc(cc2C1=O)-c1ccccc1C
BRD-K16157799,BRD-K16157799,60189916,COc1ccc2c3c([nH]c2c1)[C@H](CO)N(C)C[C@]31CCN(CC1)S(=O)(=O)c1cn(C)cn1
BRD-K16158586,BRD-K16158586,54632110,CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)Nc3ccccc3F)cc2OC[C@@H](C)N(CC2CC2)C[C@H]1C
BRD-K16161057,BRD-K16161057,,Clc1ccc2c(OCC(=O)c3ccc4OCCOc4c3)ncnc2c1
BRD-K16163479,BRD-K16163479,,CCS(=O)(=O)N[C@@H]1CC[C@@H](CC(=O)Nc2ccc(cc2)-c2ccccc2)O[C@@H]1CO
BRD-K16165450,BRD-K16165450,,Cc1ccc(NN=C2c3ccccc3-c3ccccc23)cc1
BRD-K16166741,BRD-K16166741,,CC(=NNC(=O)c1nc(C)cc(C)n1)c1ccccc1
BRD-K16167206,BRD-K16167206,,Oc1c(Cl)cc(Cl)cc1C=Nc1ccc(Br)cc1
BRD-K16172315,BRD-K16172315,,C[C@H](O)C#Cc1cnc2O[C@@H](CN(C)C(=O)Nc3ccc(cc3)C(F)(F)F)[C@H](C)CN([C@H](C)CO)C(=O)c2c1
BRD-K16172779,BRD-K16172779,54631934,CO[C@H]1CN(C)C(=O)c2cc(NC(=O)C3CCCCC3)ccc2OC[C@H](C)NC[C@H]1C
BRD-K16172814,BRD-K16172814,60191354,OC[C@H]1[C@@H]([C@H]2CNCC(=O)N12)c1ccc(cc1)-c1ccc(cc1)C#N
BRD-K16173196,BRD-K16173196,44617289,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)c2ccccc2)OCCCC[C@H](C)Oc2ccc(NC(=O)c3ccccc3)cc2C1=O
BRD-K16180117,BRD-K16180117,6729968,COCCOC(=O)N1C(=O)[C@@]2([C@H]([C@H]3N([C@H]2c4ccc(OCCO)cc4)[C@@H]([C@@H](OC3=O)c5ccccc5)c6ccccc6)C(=O)N7CCN(CC7)c8ncccn8)c9cc(C#CCC(C(=O)OC)C(=O)OC)ccc19
BRD-K16189898,CHIR-99021,9956119,Cc1c[nH]c(n1)c2cnc(NCCNc3ccc(C#N)cn3)nc2c4ccc(Cl)cc4Cl
BRD-K16190564,BRD-K16190564,,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)CC2CC2)Oc2ccc(NC(=O)CCC(F)(F)F)cc2CC1=O
BRD-K16193965,BRD-K16193965,,Fc1ccc(cc1)S(=O)(=O)c1nc(oc1N1CCCCC1)-c1ccccc1F
BRD-K16195444,OXYMETAZOLINE,4636,Cc1cc(c(O)c(C)c1CC1=NCCN1)C(C)(C)C
BRD-K16195716,BRD-K16195716,60191026,OC[C@H]1[C@@H]([C@@H]2CN(CC(=O)N12)C(=O)c1cccc(F)c1)c1ccc(\C=C\c2ccccc2)cc1
BRD-K16195900,BRD-K16195900,54638757,COC(=O)C[C@H]1CC[C@@H](NS(=O)(=O)c2ccccc2F)[C@@H](CO)O1
BRD-K16201880,BRD-K16201880,,CCOC(=O)c1c(C)[nH]c(C)c1C(=O)COC(=O)c1c(OC)cccc1OC
BRD-K16207265,BRD-K16207265,,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc3OCOc3c2)Oc2cc(ccc2S1(=O)=O)-c1cccc(c1)C(=O)N(C)C
BRD-K16207499,BRD-K16207499,,CO[C@H]1CN(C)C(=O)c2cc(NC(=O)c3ccc(F)cc3)ccc2OC[C@H](C)NC[C@H]1C
BRD-K16210823,BRD-K16210823,54618612,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccccc2C(O)=O)Oc2cc(ccc2S1(=O)=O)-c1ccc(F)cc1
BRD-K16213683,BRD-K16213683,,CO[C@@H]1[C@@H](C)CN(C)[C@@H](C)COc2ccc(cc2C(=O)N(C)C1)NS(=O)(=O)c1ccccc1
BRD-K16214172,BRD-K16214172,,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccncc2)OCCCC[C@@H](C)Oc2ccc(NC(=O)NC3CCCCC3)cc2C1=O
BRD-K16227029,BRD-K16227029,60189280,O[C@H]1COC[C@@H]2O[C@@H](CC(=O)NCc3ccc(Cl)cc3)CC[C@H]2N(CC2CCCC2)C1
BRD-K16227926,BRD-K16227926,,Cn1c(NCc2ccccc2)nc2n(C)c(=O)n(Cc3ccccc3)c(=O)c12
BRD-K16228393,BRD-K16228393,,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccncc2)Oc2ccc(NC(=O)Nc3ccc(F)cc3)cc2C1=O
BRD-K16229712,BRD-K16229712,56835515,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2c(C)noc2C)OCc2ccccc2-c2ccccc2C1=O
BRD-K16231719,BRD-K16231719,,CCc1ccc(NC(=S)NC(=O)CC(C)C)cc1
BRD-K16231990,BRD-K16231990,,COc1cccc(NC(=O)Nc2ccccc2SC)c1
BRD-K16233984,ERIOCHROME-BLACK-T,5473474,Oc1cc(c2cc(ccc2c1N=Nc3ccc4ccccc4c3O)[N+](=O)[O-])S(=O)(=O)O
BRD-K16234721,ARG-CSC2-23,51003702,Cc1csc(NC(=O)c2ccc(COc3ccc(Cl)c(Cl)c3)o2)n1
BRD-K16238077,BRD-K16238077,,CO[C@@H]1CN(C)C(=O)c2cc(NC(=O)Nc3ccc(Cl)cc3)ccc2OC[C@H](C)NC[C@@H]1C
BRD-K16238204,BRD-K16238204,,CN(C)CC(=O)Nc1ccc2O[C@@H]3[C@@H](C[C@@H](CC(=O)NCc4ccc(Cl)cc4)O[C@H]3CO)c2c1
BRD-K16244298,BRD-K16244298,54649640,CO[C@H]1CC[C@@H]2CCOc3ccc(cc3C(=O)N(C)C[C@H](OC)[C@H](C)C(=O)N(C)C[C@@H]1O2)C#N
BRD-K16245752,BRD-K16245752,,Cc1c(NC(=O)Cn2nc(C(O)=O)c3ccccc3c2=O)c(=O)n(-c2ccccc2)n1C
BRD-K16247687,BRD-K16247687,,COc1ccc(CCNc2c(C=O)c(O)nc3ccccc23)cc1OC
BRD-K16247913,BRD-K16247913,,OC[C@@H]1O[C@H](CC(=O)NCc2cccc(F)c2)C=C[C@H]1NC(=O)Nc1ccc(cc1)C(F)(F)F
BRD-K16251850,BRD-K16251850,,OC[C@@H]1O[C@@H](CC(=O)Nc2ccc(cc2)-c2ccccc2)C=C[C@H]1NC(=O)C1CCOCC1
BRD-K16254782,BRD-K16254782,60189536,Cc1ccccc1-c1ccc(cc1)[C@@H]1[C@@H](CO)N2[C@@H]1CN(CC2=O)S(C)(=O)=O
BRD-K16255194,BRD-K16255194,54654401,COc1ccc(cc1)C(=O)Nc1ccc2OC[C@@H]3O[C@@H](CC(=O)NCC4CC4)CC[C@@H]3N(C)C(=O)c2c1
BRD-K16255400,BRD-K16255400,,CCCNC(=O)N[C@H]1C=C[C@H](CC(=O)NC2CCCCC2)O[C@@H]1CO
BRD-K16256442,BRD-K16256442,54637918,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc(F)cc2)OCc2ccccc2-c2c(C1=O)n(C)c1ccccc21
BRD-K16256682,BRD-K16256682,,COc1cccc(C=NNC(=O)c2ccc(O)nn2)c1O
BRD-K16257584,BRD-K16257584,,COc1cccc(c1)S(=O)(=O)Nc1ccc2O[C@@H]3[C@@H](C[C@H](CC(=O)NCc4cccc(F)c4)O[C@@H]3CO)c2c1
BRD-K16257721,BRD-K16257721,54638227,COc1ccc(cc1)S(=O)(=O)N[C@@H]1C=C[C@H](CC(=O)NCCc2ccncc2)O[C@H]1CO
BRD-K16257790,BRD-K16257790,49843132,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)CC2CC2)OCCCC[C@H](C)Oc3ccc(NC(=O)Nc4c(C)noc4C)cc3C1=O
BRD-K16263608,GGTI-297,9956145,CC(C)C[C@H](NC(=O)c1ccc(NC[C@@H](N)CS)cc1-c1cccc2ccccc12)C(O)=O
