Standardized_SMILES,DICTrank
CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,1
[NH3+]CCc1ccc([O-])c([O-])c1,1
NN=c1[n-]ncc2ccccc12,1
O=C(C(O)CO)C(O)C(O)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,1
[O-]c1cn2c(n1)Nc1ccc(Cl)c(Cl)c1C2,1
C[NH+](C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,1
C[NH+]1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,1
C[NH+](C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1
COc1ccc2c3c1OC1CC(O)C=C(CC[NH+](C)C2)C31,1
O=P1([NH+](CCCl)CCCl)[NH2+]CCCO1,1
N=c1[n-]c(=NC2CC2)c2ncn(C3C=CC(CO)C3)c2[n-]1,1
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],1
CC(C)CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1ccc([O-])cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[n-]1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCNC(N)=[NH2+])C(=O)[NH+]1CCCC1C(=O)NCC(N)=O,1
CC1CC[NH+](C(=O)CC#N)CC1[NH+](C)c1ncnc2[nH]ccc12,1
CC12CCC3c4ccc([O-])cc4CCC3C1CCC2OC(=O)CCC1CCCC1,1
COc1ccc(OC)c(C(O)CNC(=O)C[NH3+])c1,1
CC(=O)C1NC(=O)C(CCCC[NH3+])NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)C([NH3+])Cc2ccccc2)CSSCC(C(=O)NC(CO)C(C)O)[NH2+]C1O,1
COc1ccc(CC[NH+](C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,1
C[NH2+]CCC(Oc1ccccc1C)c1ccccc1,1
C[NH2+]CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1
C[NH2+]CCC=C1c2ccccc2CCc2ccccc21,1
CN(CCOc1ccc(Cc2sc(=O)[n-]c2[O-])cc1)c1ccccn1,1
CC1Oc2cc(c[n-]c2=N)-c2c(nn(C)c2C#N)C[NH+](C)C(=O)c2ccc(F)cc21,1
CC(C)[NH2+]CC(O)COc1ccc(COCCOC(C)C)cc1,1
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(c7coc([O-])c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,1
CNS(=O)(=O)CCc1ccc2[nH]cc(C3CC[NH+](C)CC3)c2c1,1
COC(=O)C(c1ccccc1)C1CCCC[NH2+]1,1
CC1COc2c(N3CC[NH+](C)CC3)c(F)cc3c(=O)c(C(=O)[O-])cn1c23,1
CC[NH+](CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,1
COC(=O)C1=C(C)N=C(C)C(C(=O)OCC[NH+](C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,1
CC1C[NH+](CC(Cc2ccccc2)C(=O)NCC(=O)[O-])CCC1(C)c1cccc([O-])c1,1
CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)[O-])cn(C4CC4)c3c2F)CC(C)[NH2+]1,1
CCc1nc(C(N)=O)c(=Nc2ccc(N3CCC([NH+]4CC[NH+](C)CC4)CC3)c(OC)c2)[n-]c1[NH2+]C1CCOCC1,1
CCCCCOC(=O)N=c1[n-]c(=O)n(C2OC(C)C(O)C2O)cc1F,1
COc1cccc2c([O-])c3c([O-])c4c(c([O-])c3c([O-])c12)=C(OC1CC([NH3+])C(O)C(C)O1)CC(O)(C(C)=O)C=4,1
CCCCCCC[NH+](CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,1
CC(=O)C(O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,1
COc1cc2c(cc1OC)CC(=O)[NH+](CCC[NH+](C)CC1Cc3cc(OC)c(OC)cc31)CC2,1
COc1c(N2CC3CCC[NH2+]C3C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c12,1
COc1ccc(C2Sc3ccccc3N(CC[NH+](C)C)C(=O)C2OC(C)=O)cc1,1
CC1C[NH2+]CCc2ccc(Cl)cc21,1
O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)N1,1
CC[NH+](CC)C(C)C(=O)c1ccccc1,1
CC(C)[NH2+]CC(O)c1ccc(NS(C)(=O)=O)cc1,1
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)[O-])OCC3,1
CCOC(=O)C1=C(COCC[NH3+])N=C(C)C(C(=O)OC)C1c1ccccc1Cl,1
CCOC(=O)c1ncn2c1C[NH+](C)C(=O)c1cc(F)ccc1-2,1
CCOC(=O)CCC(=O)OC1C(OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC2(C)O)OC(C)CC1[NH+](C)C,1
[NH3+]CCC[NH2+]CCS[P](=O)(=O)O,1
CCS(=O)(=O)[NH+]1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,1
CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)C[NH+](C)C,1
COC(=O)c1ccc2c(C(=Nc3ccc(N(C)C(=O)C[NH+]4CC[NH+](C)CC4)cc3)c3ccccc3)c([O-])[n-]c2c1,1
N=c1[n-]c(N2CCCCC2)cc(N)[n+]1[O-],1
COc1cccc2c([O-])c3c([O-])c4c(c([O-])c3c([O-])c12)=C(OC1CC([NH3+])C(O)C(C)O1)CC(O)(C(=O)CO)C=4,1
Cc1c(F)c(N2CC[NH2+]C(C)C2)cc2c1c(=O)c(C(=O)[O-])cn2C1CC1,1
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCC[NH2+]1,1
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,1
Nc1cccc2c1C[NH+](C1CCC(=O)NC1=O)C2=O,1
COC(=O)CCC1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,1
Cc1cn(-c2cc(NC(=O)c3ccc(C)c(N=c4nc(-c5cccnc5)cc[n-]4)c3)cc(C(F)(F)F)c2)cn1,1
CC([NH2+]CCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,1
Nc1cccc2c1C(=O)[NH+](C1CCC(=O)NC1=O)C2=O,1
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(O)CC(C)C[NH+](C)C(C)C(O)C1(C)O,1
CC(=O)C1(O)C=C(OC2CC([NH3+])C(O)C(C)O2)c2c(c([O-])c3c([O-])c4ccccc4c([O-])c3c2[O-])C1,1
CCc1ccc(CCOc2ccc(Cc3sc(=O)[n-]c3[O-])cc2)nc1,1
Cc1cccc(C(C)c2c[n-]cn2)c1C,1
CCO,1
C=CC[NH+]1CC(C(=O)[NH+](CCC[NH+](C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,1
CCCCC[NH+]=C(N)NN=Cc1c[nH]c2ccc(OC)cc12,1
CCCCCCCCCCCCOCCO,1
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,1
CCCCCCCCCCCCCCCC(=O)OC1CCCn2c1nc(C)c(CC[NH+]1CCC(c3noc4cc(F)ccc34)CC1)c2=O,1
N=c1[n-]c(Cl)nc2c1ncn2C1CC(O)C(CO)O1,1
CCC[NH+]1CC(CSC)CC2c3cccc4[nH]cc(c34)CC21,1
C=CC(=O)[NH+]1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(=N)[n-]cnc32)C1,1
CCCCCCCCCCC(=O)OC1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,1
CCCCCCCCCC(=O)OCC[NH+]1CC[NH+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1
CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CC[NH+](CCCC(=O)c2ccc(F)cc2)CC1,1
CCC[NH2+]CC(O)COc1ccccc1C(=O)CCc1ccccc1,1
CCCCCCCC(=O)NC(C[NH+]1CCCC1)C(O)c1ccc2c(c1)OCCO2,1
N=c1[n-]cnc2c1ncn2C1OC(CO)C(O)C1O,1
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,1
CCCSc1nc(=NC2CC2c2ccc(F)c(F)c2)c2nnn(C3CC(OCCO)C(O)C3O)c2[n-]1,1
CC[NH+](CC)CCCC(C)N=c1cc[n-]c2cc(Cl)ccc12,1
CC[NH2+]C(C)Cc1cccc(C(F)(F)F)c1,1
CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2c[n-]c(=NC)cc21,1
CCCc1nc(C)c2c(=O)[n-]c(-c3cc(S(=O)(=O)[NH+]4CC[NH+](CC)CC4)ccc3OCC)nn12,1
CC[NH+]1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,1
Cc1nc(=Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[NH+](CCO)CC2)[n-]1,1
[NH3+]C1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)[O-])cn4-c3ccc(F)cc3F)CC12,1
